wikipedia_movie_id,movie_name,box_office_revenue,runtime,languages,countries,genres,release_day,release_month,release_year
975900,Ghosts of Mars,14010832.0,98.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['science-fiction', 'adventure', 'thriller', 'action', 'horror', 'space', 'supernatural', 'western']",24.0,8.0,2001.0
10408933,Alexander's Ragtime Band,3600000.0,106.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['musical', 'comedy', 'black-and-white']",16.0,8.0,1938.0
171005,Henry V,10161099.0,137.0,{'/m/02h40lc': 'English Language'},{'/m/07ssc': 'United Kingdom'},"['epic', 'adaptation', 'war', 'costume', 'drama', 'period_piece']",8.0,11.0,1989.0
77856,Mary Poppins,102272727.0,139.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},[],27.0,8.0,1964.0
612710,New Rose Hotel,21521.0,92.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['future', 'science-fiction', 'adaptation', 'thriller', 'erotic', 'fantasy', 'indie', 'drama', 'noir']",1.0,10.0,1999.0
156558,Baby Boy,29381649.0,123.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'crime', 'drama', 'coming_of_age']",27.0,6.0,2001.0
1364293,They Knew What They Wanted,932000.0,96.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['drama', 'marriage', 'romance', 'black-and-white']",,,1940.0
261237,The Gods Must Be Crazy,34331783.0,109.0,"{'/m/0x82': 'Afrikaans Language', '/m/02h40lc': 'English Language'}",{'/m/0hzlz': 'South Africa'},"['world', 'slapstick', 'adventure', 'action', 'cult', 'comedy', 'indie']",,,1980.0
12008535,Rudo y Cursi,11091868.0,103.0,{'/m/06nm1': 'Spanish Language'},"{'/m/0b90_r': 'Mexico', '/m/09c7w0': 'United States of America'}","['family', 'drama', 'comedy', 'sports']",,,2008.0
4951456,Kinjite: Forbidden Subjects,3416846.0,97.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'adventure', 'thriller', 'action', 'crime']",,,1989.0
5708633,The Great New Wonderful,172055.0,87.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['drama', 'comedy', 'ensemble', 'indie']",23.0,6.0,2006.0
12053509,Loverboy,3960327.0,98.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['comedy', 'romance']",28.0,4.0,1989.0
7364373,The Covered Wagon,3500000.0,23.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['short', 'epic', 'silent', 'indie', 'western']",,,1923.0
7028314,The Little Hut,3600000.0,90.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['comedy', 'romance']",3.0,5.0,1957.0
12788657,The Boston Strangler,17810894.0,116.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'thriller', 'mystery', 'drama', 'crime']",,,1968.0
3873713,Lee Dae-ro Can't Die,4736013.0,108.0,{'/m/02hwhyv': 'Korean Language'},{'/m/06qd3': 'South Korea'},"['action', 'comedy']",18.0,8.0,2005.0
164387,...And Justice for All,33300000.0,120.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'hollywood', 'courtroom', 'thriller', 'legal', 'suspense', 'comedy', 'satire', 'mystery', 'drama', 'crime', 'new']",29.0,6.0,1979.0
24282217,The Naked Kitchen,638181.0,102.0,{'/m/02hwhyv': 'Korean Language'},{'/m/06qd3': 'South Korea'},"['world', 'drama', 'comedy', 'romance']",5.0,2.0,2009.0
7767613,Star!,4000000.0,176.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['biography', 'biographical', '[feature]', 'drama', 'musical', 'biopic']",18.0,7.0,1968.0
164388,The Great Santini,4702575.0,115.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['family', 'drama']",26.0,10.0,1979.0
22985953,Beachhead,1400000.0,90.0,{},{'/m/09c7w0': 'United States of America'},"['adaptation', 'war', 'adventure', 'action', 'drama']",5.0,2.0,1954.0
3550323,Things to Do in Denver When You're Dead,529677.0,115.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'gangster', 'thriller', 'suspense', 'comedy', 'crime']",,10.0,1995.0
1765938,Convoy,45000000.0,111.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['action', 'drama', 'comedy', 'adventure']",,,1978.0
1305819,C.H.U.D.,4650000.0,96.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['science-fiction', 'b-movie', 'monster', 'creature', 'natural', 'slasher', 'cult', 'horror', 'drama']",31.0,8.0,1984.0
1031231,"Black Cat, White Cat",351447.0,135.0,"{'/m/012psb': 'Romani language', '/m/02bjrlw': 'Italian Language', '/m/06x8y': 'Serbo-Croatian', '/m/01bkv': 'Bulgarian Language', '/m/0k0sb': 'Serbian language', '/m/04306rv': 'German Language'}","{'/m/0f8l9c': 'France', '/m/087vz': 'Yugoslavia', '/m/0345h': 'Germany'}","['romance', 'slapstick', 'comedy', 'music', 'comedy_of_errors']",10.0,9.0,1998.0
6305925,The Astronaut Farmer,11130889.0,104.0,"{'/m/02h40lc': 'English Language', '/m/06nm1': 'Spanish Language'}",{'/m/09c7w0': 'United States of America'},"['science-fiction', 'adventure', 'indie', 'americana', 'drama']",15.0,10.0,2006.0
196176,Straw Dogs,11148828.0,118.0,{'/m/02h40lc': 'English Language'},"{'/m/09c7w0': 'United States of America', '/m/07ssc': 'United Kingdom'}","['drama', 'thriller']",3.0,11.0,1971.0
748616,"Spring, Summer, Fall, Winter... and Spring",9524745.0,95.0,{'/m/02hwhyv': 'Korean Language'},"{'/m/06qd3': 'South Korea', '/m/0345h': 'Germany'}","['drama', 'world']",14.0,8.0,2003.0
31505444,Blockade,665523.0,85.0,{},{'/m/09c7w0': 'United States of America'},"['romance', 'war', 'adventure', 'action', 'drama']",16.0,6.0,1938.0
336846,Grease,394589888.0,225.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['romance', 'comedy', 'lgbt', 'teen', 'musical']",16.0,6.0,1978.0
3033993,Becoming Jane,37311672.0,112.0,{'/m/02h40lc': 'English Language'},"{'/m/03rt9': 'Ireland', '/m/07ssc': 'United Kingdom'}","['romance', 'biography', 'biographical', '[feature]', 'costume', 'drama', 'period_piece', 'biopic']",2.0,3.0,2007.0
103021,Midnight Express,35000000.0,121.0,"{'/m/064_8sq': 'French Language', '/m/02h40lc': 'English Language'}","{'/m/09c7w0': 'United States of America', '/m/07ssc': 'United Kingdom'}","['prison', 'fiction', 'adventure', 'thriller', 'biographical', 'escape', 'indie', 'lgbt', '[feature]', 'drama', 'crime', 'biopic']",31.0,8.0,1978.0
1940449,RoboCop 3,10600000.0,105.0,{'/m/02h40lc': 'English Language'},{'/m/09c7w0': 'United States of America'},"['fiction', 'science-fiction', 'superhero', 'adventure', 'thriller', 'action', 'crime']",5.0,11.0,1993.0
6703617,The Forbidden Kingdom,127906624.0,105.0,"{'/m/0653m': 'Standard Mandarin', '/m/02h40lc': 'English Language', '/m/0459q4': 'Standard Cantonese'}","{'/m/09c7w0': 'United States of America', '/m/03h64': 'Hong Kong', '/m/0d05w3': 'China'}","['chinese', 'arts', 'romance', 'adventure', 'martial', 'action', 'wuxia', 'fantasy', 'period_piece']",4.0,4.0,2008.0
362719,Superman,300218018.0,151.0,{'/m/02h40lc': 'English Language'},"{'/m/09c7w0': 'United States of America', '/m/07ssc': 'United Kingdom'}","['science-fiction', 'superhero', 'adventure', 'action', 'family']",10.0,12.0,1978.0
